Eddard,Stark,Ned@westeros.net,Research & Development,100,143
Benjen,Stark,ColdHands@westeros.net,Auditing,601,200
Catelyn,Stark,Mother@westeros.net,Human Resources,302,130
Arya,Stark,A_Girl@westeros.net,Research & Development,103,185
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,172
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,157
Bran,Stark,TheRaven@westeros.net,Research & Development,106,154
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,159
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,170
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,126
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,162
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,160
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,126
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,183
Renly,Baratheon,SummerKing@westeros.net,Sales,514,198
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,124
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,187
