Eddard,Stark,Ned@westeros.net,Research & Deveolpment,181
Benjen,Stark,ColdHands@westeros.net,Auditing,695
Catelyn,Stark,Mother@westeros.net,Human Resources,358
Arya,Stark,A_Girl@westeros.net,Research & Deveolpment,122
Robb,Stark,YoungWolf@westeros.net,Research & Deveolpment,167
Sansa,Stark,LittleDove@westeros.net,Research & Deveolpment,119
Bran,Stark,TheRaven@westeros.net,Research & Deveolpment,164
Rickon,Stark,Shaggydog@westeros.net,Research & Deveolpment,199
Jon,Snow,TheGhostBrother@westeros.net,Auditing,648
Tyrion,Lannister,TheImp@westeros.net,Accounting,495
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,406
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,408
Robert,Baratheon,TheUsurper@westeros.net,Sales,528
Stannis,Baratheon,ThePromised@westeros.net,Sales,500
Renly,Baratheon,SummerKing@westeros.net,Sales,580
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,236
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,297
