Eddard,Stark,Ned@westeros.net,Research & Deveolpment,199
Benjen,Stark,ColdHands@westeros.net,Auditing,694
Catelyn,Stark,Mother@westeros.net,Human Resources,394
Arya,Stark,A_Girl@westeros.net,Research & Deveolpment,139
Robb,Stark,YoungWolf@westeros.net,Research & Deveolpment,120
Sansa,Stark,LittleDove@westeros.net,Research & Deveolpment,163
Bran,Stark,TheRaven@westeros.net,Research & Deveolpment,147
Rickon,Stark,Shaggydog@westeros.net,Research & Deveolpment,156
Jon,Snow,TheGhostBrother@westeros.net,Auditing,628
Tyrion,Lannister,TheImp@westeros.net,Accounting,422
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,440
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,441
Robert,Baratheon,TheUsurper@westeros.net,Sales,514
Stannis,Baratheon,ThePromised@westeros.net,Sales,543
Renly,Baratheon,SummerKing@westeros.net,Sales,538
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,223
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,256
